Zone,Continent
Îles Mariannes du Nord,Océanie
Îles Marshall,Océanie
Îles Salomon,Océanie
Îles Turques-et-Caïques,Amériques
Îles Vierges américaines,Amériques
Îles Vierges britanniques,Amériques
Îles Wallis-et-Futuna,Océanie
Inde,Asie
Indonésie,Asie
Iran (République islamique d'),Asie
Iraq,Asie
Irlande,Europe
Islande,Europe
Israël,Asie
Italie,Europe
Jamaïque,Amériques
Japon,Asie
Jordanie,Asie
Kazakhstan,Asie
Kenya,Afrique
Kirghizistan,Asie
Kiribati,Océanie
Koweït,Asie
Lesotho,Afrique
Lettonie,Europe
Liban,Asie
Libéria,Afrique
Libye,Afrique
Liechtenstein,Europe
Lituanie,Europe
Luxembourg,Europe
Macédoine du Nord,Europe
Madagascar,Afrique
Malaisie,Asie
Malawi,Afrique
Maldives,Asie
Mali,Afrique
Malte,Europe
Maroc,Afrique
Martinique,Amériques
Maurice,Afrique
Mauritanie,Afrique
Mayotte,Afrique
Mexique,Amériques
Micronésie (États fédérés de),Océanie
Monaco,Europe
Mongolie,Asie
Monténégro,Europe
Montserrat,Amériques
Mozambique,Afrique
Myanmar,Asie
Namibie,Afrique
Nauru,Océanie
Népal,Asie
Nicaragua,Amériques
Niger,Afrique
Nigéria,Afrique
Nioué,Océanie
Norvège,Europe
Nouvelle-Calédonie,Océanie
Nouvelle-Zélande,Océanie
Oman,Asie
Ouganda,Afrique
Ouzbékistan,Asie
Pakistan,Asie
Palaos,Océanie
Palestine,Asie
Panama,Amériques
Papouasie-Nouvelle-Guinée,Océanie
Paraguay,Amériques
Pays-Bas,Europe
Pérou,Amériques
Philippines,Asie
Pologne,Europe
Polynésie française,Océanie
Porto Rico,Amériques
Portugal,Europe
Qatar,Asie
République arabe syrienne,Asie
République centrafricaine,Afrique
République de Corée,Asie
République de Moldova,Europe
République démocratique du Congo,Afrique
République démocratique populaire lao,Asie
République dominicaine,Amériques
République populaire démocratique de Corée,Asie
République-Unie de Tanzanie,Afrique
Réunion,Afrique
Roumanie,Europe
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Europe
Rwanda,Afrique
Sahara occidental,Afrique
Saint-Barthélemy,Amériques
Saint-Kitts-et-Nevis,Amériques
Saint-Marin,Amériques
Saint-Martin (partie française),Amériques
Saint-Pierre-et-Miquelon,Amériques
Saint-Siège,Europe
Saint-Vincent-et-les Grenadines,Amériques
"Sainte-Hélène, Ascension et Tristan da Cunha",Afrique
Sainte-Lucie,Amériques
Samoa,Océanie
Samoa américaines,Océanie
Sao Tomé-et-Principe,Afrique
Sénégal,Afrique
Serbie,Europe
Seychelles,Afrique
Sierra Leone,Afrique
Singapour,Asie
Sint Maarten (partie néerlandaise),Amériques
Slovaquie,Europe
Slovénie,Europe
Somalie,Afrique
Soudan,Afrique
Soudan du Sud,Afrique
Sri Lanka,Asie
Suède,Europe
Suisse,Europe
Suriname,Amériques
Tadjikistan,Asie
Tchad,Afrique
Tchéquie,Europe
Thaïlande,Asie
Timor-Leste,Asie
Togo,Afrique
Tokélaou,Océanie
Tonga,Océanie
Trinité-et-Tobago,Amériques
Tunisie,Afrique
Turkménistan,Asie
Turquie,Asie
Tuvalu,Océanie
Ukraine,Europe
Uruguay,Amériques
Vanuatu,Océanie
Venezuela (République bolivarienne du),Amériques
Viet Nam,Asie
Yémen,Asie
Zambie,Afrique
Zimbabwe,Afrique
